features,label,prediction
"[2.0,1.0,2.0]",5,14.343582010525088
"[1.0,3.0,30.0]",5,17.77977122612862
"[5.0,1.0,3.0]",1,14.7460624589373
"[4.0,1.0,6.0]",6,15.006504683315976
"[43.0,22.0,60.0]",21,27.3627661782422
"[3.0,7.0,21.0]",5,17.336203015615308
"[4.0,20.0,1.0]",20,16.46877840240729
"[41.0,5.0,20.0]",21,20.600189775366474
"[20.0,21.0,41.0]",20,22.82732007565011
"[1.0,1.0,100.0]",1,25.85019188961204
"[2.0,12.0,1.0]",4,15.414461828818672
"[40.0,120.0,25.0]",20,33.53057169692452
"[20.0,40.0,120.0]",25,34.233573615746636
"[40.0,20.0,25.0]",150,22.71911232921172
"[150.0,40.0,20.0]",7,34.706490971417715
"[6.0,60.0,2.0]",20,21.10114268581882
"[48.0,12.0,36.0]",24,23.913982710184126
"[48.0,144.0,12.0]",240,35.343971983849244
"[24.0,24.0,96.0]",240,30.041402673539995
"[12.0,240.0,24.0]",1248,43.734344687622766
"[50.0,26.0,12.0]",24,22.775849754119733
"[24.0,50.0,26.0]",24,24.565732258307648
"[24.0,24.0,50.0]",24,24.595889914418095
"[24.0,24.0,24.0]",14,21.51799139839267
"[14.0,24.0,24.0]",24,20.57099227753471
"[12.0,24.0,14.0]",12,19.197785331814877
"[168.0,12.0,3.0]",24,31.371408659370452
"[1.0,48.0,1.0]",396,19.211887289109484
"[48.0,3.0,17.0]",24,20.691717836148317
"[12.0,40.0,24.0]",1,22.111425952197166
"[6.0,7.0,12.0]",24,16.55487634247928
"[24.0,6.0,7.0]",13,17.559456605572358
"[12.0,12.0,15.0]",3,18.018790919844168
"[12.0,48.0,3.0]",48,20.490347746362886
"[36.0,649.0,1.0]",4,87.50325501206625
"[4.0,36.0,649.0]",12,94.90931337756726
"[36.0,31.0,1.0]",4,20.688436119601167
"[13.0,24.0,637.0]",24,93.043668916356
"[4.0,45.0,30.0]",84,22.60468389682538
"[84.0,4.0,45.0]",224,27.52368920524917
"[224.0,84.0,4.0]",12,44.57723519308306
"[12.0,12.0,224.0]",48,42.76035976020238
"[12.0,1.0,1212.0]",6,158.53124283872006
